###OOB File for FRA.txt
units = {
	fleet = {
		name = "Flotte de la Féderatien"
		naval_base = 3552 ###Change to proper province number
		task_force = {
			ship = { name = "Hussard" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Lansquenet" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Mameluk" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Octant" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Aurore" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Bacchus" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Cessard" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Fortuna" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Janus" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Meditrina" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Minerve" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Tramontane" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Tramontane Class" } } }
			ship = { name = "Trombe" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Tramontane Class" } } }
			ship = { name = "Typhon" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Tramontane Class" } } }
			ship = { name = "Lyon" definition = light_cruiser equipment = { ship_hull_cruiser_2 = { amount = 1 owner = FRA version_name = "Lyon Class" } } }
			ship = { name = "Toulon" definition = light_cruiser equipment = { ship_hull_cruiser_2 = { amount = 1 owner = FRA version_name = "Lyon Class" } } }
			ship = { name = "Toulouse" definition = light_cruiser equipment = { ship_hull_cruiser_2 = { amount = 1 owner = FRA version_name = "Lyon Class" } } }
			ship = { name = "Marseille" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = FRA version_name = "Paris Class" } } }
			ship = { name = "Bayonne" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = FRA version_name = "Paris Class" } } }
			ship = { name = "Vergniaud" definition = battleship equipment = { ship_hull_pre_dreadnought = { amount = 1 owner = FRA version_name = "Liberté Class" } } }
			ship = { name = "Justice" definition = battleship equipment = { ship_hull_pre_dreadnought = { amount = 1 owner = FRA version_name = "Liberté Class" } } }
			ship = { name = "Aigrette" definition = submarine equipment = { ship_hull_cruiser_submarine = { amount = 1 owner = FRA version_name = "Aigrette Class" } } }
			ship = { name = "Morse" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Ariane/Circé Class" } } }
			ship = { name = "Sirène" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Ariane/Circé Class" } } }
			ship = { name = "Silure" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Ariane/Circé Class" } } }
			ship = { name = "Thon" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Ariane/Circé Class" } } }
			ship = { name = "Émeraude" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Opale" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Loutre" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Bonite" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Dorade" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Esturgeon" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Ludion" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Perle" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Protée" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Espadon" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Naïade" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Souffleur" definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = FRA version_name = "Émeraude Class" } } }
			ship = { name = "Gustave Zédé" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Plongeur Class" } } }
			ship = { name = "Gymnote" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Plongeur Class" } } }
			ship = { name = "Narval" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Plongeur Class" } } }
			ship = { name = "Plongeur" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Plongeur Class" } } }
			ship = { name = "Pallas" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Sirène Class" } } }
			ship = { name = "Triton" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = FRA version_name = "Sirène Class" } } }
			ship = { name = "Charles Fourier" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Normandie Class" } } }
			ship = { name = "Jules Guesde" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Normandie Class" } } }
			ship = { name = "Louis Delescluze" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Normandie Class" } } }
			ship = { name = "Paul Brousse" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Normandie Class" } } }
			ship = { name = "Pierre Biétry" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Normandie Class" } } }
		}
	}
}
